osmid,y,x,street_count,geometry
9921163,48.1988726,16.3216679,3,POINT (16.3216679 48.1988726)
16055004,48.1988131,16.3224092,3,POINT (16.3224092 48.1988131)
9921176,48.1999082,16.3218556,3,POINT (16.3218556 48.1999082)
16054998,48.1989207,16.3209768,5,POINT (16.3209768 48.1989207)
1212155455,48.2000956,16.3163717,3,POINT (16.3163717 48.2000956)
9921166,48.2001303,16.3164475,4,POINT (16.3164475 48.2001303)
1212155474,48.2002123,16.3165371,4,POINT (16.3165371 48.2002123)
437260258,48.1993745,16.3179389,3,POINT (16.3179389 48.1993745)
9921172,48.2019813,16.3095457,3,POINT (16.3095457 48.2019813)
16055000,48.1999632,16.3211478,4,POINT (16.3211478 48.1999632)
14078721,48.2091531,16.4275904,3,POINT (16.4275904 48.2091531)
17314952,48.2081054,16.4290851,3,POINT (16.4290851 48.2081054)
1673615664,48.2088146,16.4269852,3,POINT (16.4269852 48.2088146)
1174052565,48.2122016,16.42327,3,POINT (16.42327 48.2122016)
14078724,48.2081959,16.4260403,1,POINT (16.4260403 48.2081959)
17314950,48.2086444,16.4268872,3,POINT (16.4268872 48.2086444)
15738254,48.2139274,16.3887375,3,POINT (16.3887375 48.2139274)
3661238316,48.2137806,16.3877318,3,POINT (16.3877318 48.2137806)
16053354,48.1915528,16.3118632,3,POINT (16.3118632 48.1915528)
33236722,48.190833,16.3117442,3,POINT (16.3117442 48.190833)
3247534287,48.188228,16.3039248,4,POINT (16.3039248 48.188228)
16053967,48.2008445,16.3228097,3,POINT (16.3228097 48.2008445)
16055011,48.2003491,16.322722,3,POINT (16.322722 48.2003491)
16053969,48.2007194,16.3242638,3,POINT (16.3242638 48.2007194)
16053968,48.2006515,16.3251126,3,POINT (16.3251126 48.2006515)
16055008,48.2001662,16.32504,4,POINT (16.32504 48.2001662)
33238721,48.2010958,16.3251848,3,POINT (16.3251848 48.2010958)
16055001,48.1995003,16.3210736,3,POINT (16.3210736 48.1995003)
623411216,48.1991524,16.319029,4,POINT (16.319029 48.1991524)
623411223,48.1983895,16.3208762,1,POINT (16.3208762 48.1983895)
33208101,48.1987729,16.3229313,3,POINT (16.3229313 48.1987729)
16055014,48.1992489,16.3239973,4,POINT (16.3239973 48.1992489)
16055020,48.1996259,16.325295,3,POINT (16.325295 48.1996259)
33238723,48.2001468,16.3261404,3,POINT (16.3261404 48.2001468)
16055009,48.2002348,16.3241737,4,POINT (16.3241737 48.2002348)
16055018,48.1998463,16.3226142,4,POINT (16.3226142 48.1998463)
16055012,48.1993576,16.3254322,4,POINT (16.3254322 48.1993576)
16055021,48.199319,16.3249268,3,POINT (16.3249268 48.199319)
16055016,48.1997334,16.3240855,3,POINT (16.3240855 48.1997334)
16055015,48.1993666,16.3225246,3,POINT (16.3225246 48.1993666)
16055032,48.2024079,16.3253702,3,POINT (16.3253702 48.2024079)
33238712,48.2035611,16.3255003,3,POINT (16.3255003 48.2035611)
