u,v,geometry
33344347,83572328,"LINESTRING (16.3619434 48.2146034, 16.3617421 48.214519, 16.3616317 48.2144741, 16.3615898 48.2144553, 16.3615758 48.2144488, 16.3614426 48.2143872, 16.3613211 48.2143347, 16.3609532 48.2141331, 16.3608509 48.2141088, 16.3607549 48.2140946, 16.3606432 48.2140886, 16.3605308 48.214098, 16.3602964 48.2141282, 16.3599739 48.2141732)"
33344345,685150,"LINESTRING (16.3624031 48.2157667, 16.3617869 48.2154843, 16.361356 48.2152868, 16.3612652 48.2152452)"
33344345,33344346,"LINESTRING (16.3624031 48.2157667, 16.3622921 48.2158445, 16.3617447 48.216357)"
60484019,60432788,"LINESTRING (16.3671131 48.2126676, 16.3674582 48.2130311, 16.367559 48.2131289, 16.3675872 48.2131929)"
25267632,25267633,"LINESTRING (16.363544 48.2129356, 16.363576 48.2128722, 16.3639914 48.2123037, 16.3641616 48.2120537)"
199700,60431852,"LINESTRING (16.3686087 48.2127538, 16.3685296 48.2126877, 16.3684937 48.2126577, 16.3680792 48.2123576, 16.3676212 48.2120398, 16.3671744 48.2117373, 16.3664086 48.2113136, 16.3663435 48.2112651)"
199700,60432743,"LINESTRING (16.3686087 48.2127538, 16.3686938 48.2127162, 16.3689683 48.2125971, 16.3692244 48.2124861)"
1362648878,60484032,"LINESTRING (16.368947 48.2139077, 16.3692515 48.2136199, 16.3693438 48.2135326, 16.3693788 48.2135003, 16.3693972 48.2134809, 16.3694074 48.213464, 16.3694113 48.2134475, 16.3694122 48.2134341)"
199548,685093,"LINESTRING (16.3643869 48.2138963, 16.364351 48.2139312, 16.3638942 48.2143669, 16.3638196 48.2144369, 16.3637735 48.2144802, 16.3637263 48.2145245)"
277838181,60571016,"LINESTRING (16.3612537 48.2124798, 16.3618207 48.212426)"
277838181,60436603,"LINESTRING (16.3612537 48.2124798, 16.3611721 48.2122095, 16.3611448 48.2121194)"
25267633,8385085835,"LINESTRING (16.3641616 48.2120537, 16.3642526 48.2120007, 16.3643075 48.2119687, 16.3643308 48.2119551, 16.3644167 48.211905, 16.3645051 48.2118535, 16.3645971 48.2118255)"
25267633,33196457,"LINESTRING (16.3641616 48.2120537, 16.3641107 48.2119869, 16.3632436 48.2116595)"
83572328,291326363,"LINESTRING (16.3599739 48.2141732, 16.3594395 48.2142619, 16.359391 48.2142699, 16.3592618 48.2142876)"
685150,33344347,"LINESTRING (16.3612652 48.2152452, 16.3613039 48.2152085, 16.3613711 48.2151447, 16.3618352 48.2147091, 16.3619003 48.2146447, 16.3619434 48.2146034)"
33344346,27028168,"LINESTRING (16.3617447 48.216357, 16.3628145 48.2168342)"
291326363,3358490131,"LINESTRING (16.3592618 48.2142876, 16.3592902 48.214364, 16.3593035 48.214391, 16.3604091 48.2156261, 16.3605049 48.2157321, 16.3605614 48.2157945, 16.3605754 48.21581, 16.3605893 48.2158165, 16.3606722 48.2158553)"
291326363,199740,"LINESTRING (16.3592618 48.2142876, 16.3590938 48.2142917, 16.3587574 48.2143354, 16.3585347 48.2143671, 16.3582651 48.214422)"
60571016,60483922,"LINESTRING (16.3618207 48.212426, 16.3619085 48.2125476, 16.3622052 48.2127069, 16.362653 48.2129474, 16.3629869 48.2131268, 16.3630745 48.2131738, 16.3632246 48.2132545)"
60571016,33196469,"LINESTRING (16.3618207 48.212426, 16.3619053 48.2123638, 16.3620033 48.2123141, 16.3624688 48.2120667)"
60436603,199747,"LINESTRING (16.3611448 48.2121194, 16.3610733 48.2121291, 16.3609868 48.2121408, 16.3608929 48.2121535, 16.3608258 48.2121626, 16.3605019 48.212204, 16.3589837 48.2124103, 16.3588007 48.2124349)"
60436603,33196440,"LINESTRING (16.3611448 48.2121194, 16.3608576 48.2111232)"
33196469,33196457,"LINESTRING (16.3624688 48.2120667, 16.3629539 48.2118156, 16.3632436 48.2116595)"
33196469,25267636,"LINESTRING (16.3624688 48.2120667, 16.3615552 48.2112851)"
199747,199748,"LINESTRING (16.3588007 48.2124349, 16.3586664 48.2124527, 16.3578329 48.2125633)"
199747,199483,"LINESTRING (16.3588007 48.2124349, 16.3587894 48.2123533, 16.3587113 48.212095, 16.3585756 48.2116128, 16.3585509 48.2115248)"
33196440,17322939,"LINESTRING (16.3608576 48.2111232, 16.3606788 48.2105169, 16.3606609 48.2104671, 16.3606428 48.2104167, 16.3604255 48.2096573)"
33196457,33196456,"LINESTRING (16.3632436 48.2116595, 16.362891 48.2115163)"
25267636,25267634,"LINESTRING (16.3615552 48.2112851, 16.3616897 48.2111661, 16.3617939 48.2110575)"
8385085835,60432784,"LINESTRING (16.3645971 48.2118255, 16.3646588 48.2118067, 16.3648306 48.2117746, 16.3651732 48.2117074, 16.3654043 48.2116567, 16.3657801 48.2115107)"
8385085835,60571044,"LINESTRING (16.3645971 48.2118255, 16.3644497 48.2117868)"
199748,199745,"LINESTRING (16.3578329 48.2125633, 16.357855 48.212636, 16.358084 48.2133903)"
199748,33183670,"LINESTRING (16.3578329 48.2125633, 16.3577765 48.2125703, 16.3569448 48.2126732, 16.3568763 48.2126817)"
199483,199753,"LINESTRING (16.3585509 48.2115248, 16.3584053 48.2115439, 16.3576475 48.2116436, 16.3575637 48.2116546)"
17322939,199732,"LINESTRING (16.3604255 48.2096573, 16.3601993 48.2088784, 16.3601647 48.2087591, 16.3601365 48.2086619)"
199745,291325801,"LINESTRING (16.358084 48.2133903, 16.358288 48.2140889, 16.3582999 48.2141234, 16.3583227 48.2142079)"
199745,199484,"LINESTRING (16.358084 48.2133903, 16.3590241 48.2132767)"
33183670,199750,"LINESTRING (16.3568763 48.2126817, 16.3560356 48.212794)"
33183670,199752,"LINESTRING (16.3568763 48.2126817, 16.3566008 48.2117779)"
199753,199748,"LINESTRING (16.3575637 48.2116546, 16.3575886 48.2117387, 16.3578329 48.2125633)"
199753,199752,"LINESTRING (16.3575637 48.2116546, 16.3575007 48.2116627, 16.3574635 48.2116674, 16.3566008 48.2117779)"
33196456,25267634,"LINESTRING (16.362891 48.2115163, 16.3617939 48.2110575)"
25267634,33196440,"LINESTRING (16.3617939 48.2110575, 16.3617111 48.2110266, 16.3611303 48.2110896, 16.3610445 48.2110974, 16.3610016 48.211103, 16.3609248 48.2111131, 16.3608576 48.2111232)"
25267634,33196436,"LINESTRING (16.3617939 48.2110575, 16.3618766 48.210955, 16.3621784 48.2105806, 16.3622537 48.2104871)"
291325801,199740,"LINESTRING (16.3583227 48.2142079, 16.358337 48.2142998, 16.3583392 48.2143139, 16.3583285 48.2143294, 16.3582651 48.214422)"
291325801,83572328,"LINESTRING (16.3583227 48.2142079, 16.3591 48.2141122, 16.3592592 48.2140926, 16.3594789 48.2141152, 16.3595093 48.2141184, 16.3596328 48.2141291, 16.35974 48.2141441, 16.3599739 48.2141732)"
199484,199747,"LINESTRING (16.3590241 48.2132767, 16.3588119 48.212516, 16.3588007 48.2124349)"
199750,199759,"LINESTRING (16.3560356 48.212794, 16.3560518 48.2128724, 16.3562095 48.2136341)"
199752,199751,"LINESTRING (16.3566008 48.2117779, 16.3563765 48.211807, 16.3559381 48.2118636, 16.3558256 48.2118784)"
1385407794,8642421054,"LINESTRING (16.3597125 48.2072593, 16.3595783 48.2072142, 16.3595393 48.2072069, 16.3594995 48.2072032, 16.3594741 48.2072019, 16.3594431 48.207202, 16.3593378 48.2072137, 16.358819 48.2072798, 16.3584989 48.2073207, 16.3579067 48.2074016, 16.357871 48.2074063, 16.3576005 48.2074422, 16.3574553 48.2074577, 16.3574234 48.2074648, 16.3573317 48.2075121, 16.3573114 48.2075215)"
1385407794,278317733,"LINESTRING (16.3597125 48.2072593, 16.359677 48.2071432, 16.3596739 48.2071009, 16.3596794 48.2070585, 16.3596971 48.2070137, 16.3597284 48.206966)"
8642421054,33183679,"LINESTRING (16.3573114 48.2075215, 16.3573011 48.2074869, 16.3572882 48.2074401)"
278317733,395420,"LINESTRING (16.3597284 48.206966, 16.3597778 48.206919, 16.359956 48.2067836, 16.3601786 48.2066115, 16.3602861 48.2065284)"
33183679,33183691,"LINESTRING (16.3572882 48.2074401, 16.3572696 48.2074388, 16.3571824 48.2074167, 16.3571115 48.2073939, 16.3570423 48.2073676, 16.3563994 48.2071819, 16.3561017 48.2070837, 16.355888 48.2070132, 16.3557867 48.2069776, 16.3557376 48.2069604)"
33183679,2147779389,"LINESTRING (16.3572882 48.2074401, 16.358467 48.2063424)"
395420,199604,"LINESTRING (16.3602861 48.2065284, 16.3602707 48.20646, 16.3602682 48.2064491, 16.3602597 48.2064412, 16.3602205 48.2064051, 16.360188 48.2063751, 16.3600878 48.206326, 16.3600649 48.2063124, 16.3597814 48.2061485, 16.3591809 48.2058013)"
395420,393334,"LINESTRING (16.3602861 48.2065284, 16.3603829 48.206451, 16.3604685 48.2063826, 16.3614916 48.2055999, 16.3618804 48.205321, 16.3620041 48.2052274, 16.3621139 48.2051423, 16.3636273 48.204004, 16.3637175 48.2039361)"
33183691,199736,"LINESTRING (16.3557376 48.2069604, 16.3556891 48.2070338, 16.3555833 48.2072083, 16.3553748 48.2076973)"
33183691,33183707,"LINESTRING (16.3557376 48.2069604, 16.3555972 48.2069112, 16.3555265 48.20689, 16.3554842 48.2068798, 16.3554474 48.2068709, 16.3553553 48.2068549, 16.3548297 48.2067892, 16.354683 48.2067601, 16.3544196 48.2067079, 16.3540736 48.2066649, 16.3539315 48.2066472)"
2147779389,199604,"LINESTRING (16.358467 48.2063424, 16.3584818 48.2063312, 16.3585016 48.2063162, 16.3585734 48.2062617, 16.3590225 48.2059212, 16.3590731 48.2058829, 16.3591809 48.2058013)"
