gen	nevals	avg        	std        	min        	max        
710	3617  	2.68372e+09	1.24246e+10	1.27049e+09	3.60159e+11
711	3594  	2.8777e+09 	1.51967e+10	1.27047e+09	3.69109e+11
712	3590  	2.81855e+09	1.3876e+10 	1.27042e+09	3.75871e+11
713	3573  	2.64301e+09	1.2551e+10 	1.27042e+09	3.66798e+11
714	3593  	2.62275e+09	1.10728e+10	1.27041e+09	3.56615e+11
715	3656  	2.72908e+09	1.44039e+10	1.27041e+09	3.73311e+11
716	3540  	2.64558e+09	1.18743e+10	1.27041e+09	3.55348e+11
717	3600  	3.10629e+09	1.6742e+10 	1.26907e+09	3.58587e+11
718	3630  	2.6651e+09 	1.3561e+10 	1.27041e+09	3.6894e+11 
719	3643  	2.55509e+09	1.12848e+10	1.27041e+09	3.78454e+11
720	3643  	2.62998e+09	1.03302e+10	1.27041e+09	3.79061e+11
721	3630  	2.41922e+09	8.76935e+09	1.27041e+09	3.5603e+11 
722	3597  	2.47533e+09	1.03374e+10	1.27041e+09	3.55149e+11
723	3609  	2.56303e+09	1.17677e+10	1.27041e+09	3.54733e+11
724	3656  	2.62291e+09	1.25572e+10	1.27041e+09	3.5687e+11 
725	3632  	2.36176e+09	8.04835e+09	1.27041e+09	3.55324e+11
726	3642  	2.8121e+09 	1.42051e+10	1.27041e+09	3.70823e+11
727	3539  	2.68522e+09	1.3546e+10 	1.2698e+09 	3.71404e+11
728	3595  	2.45477e+09	9.62772e+09	1.2698e+09 	3.58966e+11
729	3587  	2.87325e+09	1.47496e+10	1.2698e+09 	3.69304e+11
730	3676  	2.86459e+09	1.43382e+10	1.2698e+09 	3.61263e+11
731	3529  	2.56392e+09	1.2234e+10 	1.2698e+09 	3.8947e+11 
732	3513  	2.73181e+09	1.33549e+10	1.2698e+09 	3.7633e+11 
733	3627  	2.75212e+09	1.3956e+10 	1.26979e+09	3.6099e+11 
734	3545  	2.8227e+09 	1.37247e+10	1.26979e+09	3.75285e+11
735	3582  	2.43003e+09	1.02401e+10	1.26979e+09	3.56182e+11
736	3609  	2.79732e+09	1.42338e+10	1.2693e+09 	3.60677e+11
737	3647  	2.64437e+09	1.26476e+10	1.2693e+09 	3.69409e+11
738	3585  	2.65236e+09	1.16723e+10	1.2693e+09 	3.77798e+11
739	3623  	2.52205e+09	1.14835e+10	1.2693e+09 	3.75339e+11
740	3582  	2.36687e+09	7.52416e+09	1.26906e+09	3.55996e+11
741	3599  	2.72115e+09	1.25455e+10	1.26906e+09	3.59812e+11
742	3626  	2.54152e+09	1.03359e+10	1.26906e+09	3.7402e+11 
743	3623  	3.02529e+09	1.61124e+10	1.26906e+09	3.7153e+11 
744	3546  	2.57092e+09	1.20172e+10	1.26906e+09	3.54879e+11
745	3700  	2.72091e+09	1.28193e+10	1.26906e+09	3.56798e+11
746	3623  	2.54953e+09	1.10274e+10	1.26906e+09	3.54184e+11
747	3618  	2.63582e+09	1.22092e+10	1.26906e+09	3.55451e+11
748	3587  	2.71973e+09	1.39616e+10	1.26906e+09	3.56941e+11
749	3587  	2.48819e+09	1.05101e+10	1.26906e+09	3.55058e+11
750	3634  	2.58067e+09	1.17076e+10	1.26906e+09	3.55843e+11
